0.01	307.6	31.4	638.8	170
0.02	374.4	19.2	284.2	171.2
0.03	426	20.2	251.8	175.4
0.04	474.6	22	191.6	174.8
0.05	513.4	24	137.8	178.6
0.06	455.2	26	146	176.8
0.07	491	27.6	130.4	176.8
0.08	509.2	30	128	181.6
0.09	478.4	31.8	116.2	183
0.1	466	34.6	119.8	184.6
0.11	502.8	36.2	114.6	183.6
0.12	494.8	39	108.4	192.8
0.13	480	41.2	103.6	185.4
0.14	501.2	44	104.8	186.8
0.15	500.4	46.8	93.6	188.2
0.16	494.4	49.6	91.2	188.6
0.17	495.4	54	100.4	194.2
0.18	498	55.6	95.2	191
0.19	503.4	58.6	94.4	195.8
0.2	465.2	63.2	95.8	193.2
0.21	520.6	65.6	96.4	194.4
0.22	498.4	68.2	90.4	196.2
0.23	511	72.6	88.6	196
0.24	518.8	78.4	89.4	198
0.25	503	78.8	86.6	198
0.26	507.2	85	86.8	200.2
0.27	498.4	92.6	84.8	200.8
0.28	511.4	98.4	81.2	207.4
0.29	504.4	98.6	84.8	202.6
0.3	514.4	103.6	87.2	202.4
0.31	517.4	97.8	83	204
0.32	524.4	103	88.6	210.4
0.33	520	100.6	83	206.4
0.34	519	99.2	82.4	206.2
0.35	521.6	100.8	83	208.4
0.36	516.4	106.4	88.6	219.8
0.37	521.4	103.6	85.8	209.4
0.38	516.4	103.2	83.4	215
0.39	514	105.6	86	214.8
0.4	527.8	107.6	84.6	212.2
0.41	519.6	106.6	83.2	218.8
0.42	525.4	109.6	85.2	220.6
0.43	510.6	107.2	84.4	216.8
0.44	530.8	110.6	89.2	229
0.45	517	109.2	85.6	217.4
0.46	518.4	108.4	84.2	231.6
0.47	517.8	108.2	83.2	219.2
0.48	523.6	112.6	87.6	227.8
0.49	521.6	110.6	85.8	222.2
0.5	522.4	110.2	83.8	227.4
0.51	541	110	84.8	229
0.52	536	113.6	87	234.6
0.53	526	111.2	85	225
0.54	530.4	110.4	85.6	242.8
0.55	529.4	109.4	84.2	224.8
0.56	527.2	110.4	85	234.8
0.57	526.6	110.8	84	226.8
0.58	531	113	88.2	234
0.59	532.6	111.8	84.4	229.6
0.6	535.4	118	90.6	229
0.61	528.4	112.2	85.4	228.2
0.62	535	115.2	84.8	230
0.63	533.4	116	85.8	235.6
0.64	544.8	116.4	86.2	237.4
0.65	536.8	117.6	86.8	237.2
0.66	535.2	118	87.2	245.8
0.67	541.8	117.4	87.4	239.8
0.68	545.6	121.8	88	239
0.69	550.2	116.6	86.2	242.2
0.7	544.2	117.2	86.6	244.6
0.71	545.2	120.6	88.4	249
0.72	547.4	120	88.8	242
0.73	544.4	118.2	87.4	253
0.74	549.4	118.2	86.6	254.8
0.75	550.6	118	87.2	248.2
0.76	552.8	120.2	88.2	250.4
0.77	530	118.2	87.6	251.6
0.78	563	118	87.6	264.2
0.79	554	119.6	88.6	256.2
0.8	561.2	119.2	88.4	247
0.81	551	118.6	89	254
0.82	553.2	118.8	88.8	249.4
0.83	557.4	118.6	88.4	248.4
0.84	548.2	118	87.6	250.6
0.85	551.6	121.6	89.2	248.2
0.86	552.6	118.4	88.6	249.4
0.87	550.4	119.6	89.2	248.4
0.88	550	118.4	88.6	249
0.89	547.8	119.2	89.2	248.2
0.9	548	120	89.4	249.2
0.91	554.8	118.6	88.6	248.8
0.92	551.2	118.6	88	250
0.93	554.4	118.6	87.8	250
0.94	553.2	119.6	89	250.4
0.95	554	119.4	89	250.4
0.96	547.6	119.6	88.8	251.6
0.97	555.4	119.4	88.6	253
0.98	555.6	119.4	88.8	252.2
0.99	552.8	118.6	89	251.2
1	554.6	119.6	88.6	251.2
