0.01	307.6
0.02	374.4
0.03	426
0.04	474.6
0.05	513.4
0.06	455.2
0.07	491
0.08	509.2
0.09	478.4
0.1	466
0.11	502.8
0.12	494.8
0.13	480
0.14	501.2
0.15	500.4
0.16	494.4
0.17	495.4
0.18	498
0.19	503.4
0.2	465.2
0.21	520.6
0.22	498.4
0.23	511
0.24	518.8
0.25	503
0.26	507.2
0.27	498.4
0.28	511.4
0.29	504.4
0.3	514.4
0.31	517.4
0.32	524.4
0.33	520
0.34	519
0.35	521.6
0.36	516.4
0.37	521.4
0.38	516.4
0.39	514
0.4	527.8
0.41	519.6
0.42	525.4
0.43	510.6
0.44	530.8
0.45	517
0.46	518.4
0.47	517.8
0.48	523.6
0.49	521.6
0.5	522.4
0.51	541
0.52	536
0.53	526
0.54	530.4
0.55	529.4
0.56	527.2
0.57	526.6
0.58	531
0.59	532.6
0.6	535.4
0.61	528.4
0.62	535
0.63	533.4
0.64	544.8
0.65	536.8
0.66	535.2
0.67	541.8
0.68	545.6
0.69	550.2
0.7	544.2
0.71	545.2
0.72	547.4
0.73	544.4
0.74	549.4
0.75	550.6
0.76	552.8
0.77	530
0.78	563
0.79	554
0.8	561.2
0.81	551
0.82	553.2
0.83	557.4
0.84	548.2
0.85	551.6
0.86	552.6
0.87	550.4
0.88	550
0.89	547.8
0.9	548
0.91	554.8
0.92	551.2
0.93	554.4
0.94	553.2
0.95	554
0.96	547.6
0.97	555.4
0.98	555.6
0.99	552.8
1	554.6
