0.01	31.4
0.02	19.2
0.03	20.2
0.04	22
0.05	24
0.06	26
0.07	27.6
0.08	30
0.09	31.8
0.1	34.6
0.11	36.2
0.12	39
0.13	41.2
0.14	44
0.15	46.8
0.16	49.6
0.17	54
0.18	55.6
0.19	58.6
0.2	63.2
0.21	65.6
0.22	68.2
0.23	72.6
0.24	78.4
0.25	78.8
0.26	85
0.27	92.6
0.28	98.4
0.29	98.6
0.3	103.6
0.31	97.8
0.32	103
0.33	100.6
0.34	99.2
0.35	100.8
0.36	106.4
0.37	103.6
0.38	103.2
0.39	105.6
0.4	107.6
0.41	106.6
0.42	109.6
0.43	107.2
0.44	110.6
0.45	109.2
0.46	108.4
0.47	108.2
0.48	112.6
0.49	110.6
0.5	110.2
0.51	110
0.52	113.6
0.53	111.2
0.54	110.4
0.55	109.4
0.56	110.4
0.57	110.8
0.58	113
0.59	111.8
0.6	118
0.61	112.2
0.62	115.2
0.63	116
0.64	116.4
0.65	117.6
0.66	118
0.67	117.4
0.68	121.8
0.69	116.6
0.7	117.2
0.71	120.6
0.72	120
0.73	118.2
0.74	118.2
0.75	118
0.76	120.2
0.77	118.2
0.78	118
0.79	119.6
0.8	119.2
0.81	118.6
0.82	118.8
0.83	118.6
0.84	118
0.85	121.6
0.86	118.4
0.87	119.6
0.88	118.4
0.89	119.2
0.9	120
0.91	118.6
0.92	118.6
0.93	118.6
0.94	119.6
0.95	119.4
0.96	119.6
0.97	119.4
0.98	119.4
0.99	118.6
1	119.6
