0.01	638.8
0.02	284.2
0.03	251.8
0.04	191.6
0.05	137.8
0.06	146
0.07	130.4
0.08	128
0.09	116.2
0.1	119.8
0.11	114.6
0.12	108.4
0.13	103.6
0.14	104.8
0.15	93.6
0.16	91.2
0.17	100.4
0.18	95.2
0.19	94.4
0.2	95.8
0.21	96.4
0.22	90.4
0.23	88.6
0.24	89.4
0.25	86.6
0.26	86.8
0.27	84.8
0.28	81.2
0.29	84.8
0.3	87.2
0.31	83
0.32	88.6
0.33	83
0.34	82.4
0.35	83
0.36	88.6
0.37	85.8
0.38	83.4
0.39	86
0.4	84.6
0.41	83.2
0.42	85.2
0.43	84.4
0.44	89.2
0.45	85.6
0.46	84.2
0.47	83.2
0.48	87.6
0.49	85.8
0.5	83.8
0.51	84.8
0.52	87
0.53	85
0.54	85.6
0.55	84.2
0.56	85
0.57	84
0.58	88.2
0.59	84.4
0.6	90.6
0.61	85.4
0.62	84.8
0.63	85.8
0.64	86.2
0.65	86.8
0.66	87.2
0.67	87.4
0.68	88
0.69	86.2
0.7	86.6
0.71	88.4
0.72	88.8
0.73	87.4
0.74	86.6
0.75	87.2
0.76	88.2
0.77	87.6
0.78	87.6
0.79	88.6
0.8	88.4
0.81	89
0.82	88.8
0.83	88.4
0.84	87.6
0.85	89.2
0.86	88.6
0.87	89.2
0.88	88.6
0.89	89.2
0.9	89.4
0.91	88.6
0.92	88
0.93	87.8
0.94	89
0.95	89
0.96	88.8
0.97	88.6
0.98	88.8
0.99	89
1	88.6
