0.01	170
0.02	171.2
0.03	175.4
0.04	174.8
0.05	178.6
0.06	176.8
0.07	176.8
0.08	181.6
0.09	183
0.1	184.6
0.11	183.6
0.12	192.8
0.13	185.4
0.14	186.8
0.15	188.2
0.16	188.6
0.17	194.2
0.18	191
0.19	195.8
0.2	193.2
0.21	194.4
0.22	196.2
0.23	196
0.24	198
0.25	198
0.26	200.2
0.27	200.8
0.28	207.4
0.29	202.6
0.3	202.4
0.31	204
0.32	210.4
0.33	206.4
0.34	206.2
0.35	208.4
0.36	219.8
0.37	209.4
0.38	215
0.39	214.8
0.4	212.2
0.41	218.8
0.42	220.6
0.43	216.8
0.44	229
0.45	217.4
0.46	231.6
0.47	219.2
0.48	227.8
0.49	222.2
0.5	227.4
0.51	229
0.52	234.6
0.53	225
0.54	242.8
0.55	224.8
0.56	234.8
0.57	226.8
0.58	234
0.59	229.6
0.6	229
0.61	228.2
0.62	230
0.63	235.6
0.64	237.4
0.65	237.2
0.66	245.8
0.67	239.8
0.68	239
0.69	242.2
0.7	244.6
0.71	249
0.72	242
0.73	253
0.74	254.8
0.75	248.2
0.76	250.4
0.77	251.6
0.78	264.2
0.79	256.2
0.8	247
0.81	254
0.82	249.4
0.83	248.4
0.84	250.6
0.85	248.2
0.86	249.4
0.87	248.4
0.88	249
0.89	248.2
0.9	249.2
0.91	248.8
0.92	250
0.93	250
0.94	250.4
0.95	250.4
0.96	251.6
0.97	253
0.98	252.2
0.99	251.2
1	251.2
